Zone,1L,2L,3L,4L,5L,6L,7L,8L,9L,10L,11L,12L,13L,1R,2R,3R,4R,5R,6R,7R,8R,9R,10R,11R,12R,13R,FT
Shots made,16,8,5,20,0,0,0,1,4,3,3,29,1,37,6,4,16,2,0,0,0,4,2,1,38,11,33
Shots missed,17,8,9,49,0,1,0,0,13,0,1,11,0,43,8,13,29,3,0,3,1,2,1,2,8,1,14
Shots made,1,3,1,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0
Shots missed,0,1,1,1,0,0,0,0,1,0,0,1,0,2,1,0,1,0,0,1,0,0,0,0,2,0,0
Shots made,0,2,1,2,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,2,0,7
Shots missed,2,2,3,2,0,0,0,0,0,0,1,1,1,7,3,1,0,0,0,0,0,2,1,0,1,1,3
