Zone,1L,2L,3L,4L,5L,6L,7L,8L,9L,10L,11L,12L,13L,1R,2R,3R,4R,5R,6R,7R,8R,9R,10R,11R,12R,13R,FT
Shots made,40,18,9,13,2,3,5,2,11,3,3,28,13,17,13,11,30,4,2,2,2,7,2,2,36,16,42
Shots missed,30,18,24,26,5,2,1,1,4,0,2,6,2,31,15,16,28,2,1,0,2,1,0,2,7,7,10
Shots made,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0
Shots missed,2,2,1,1,1,0,0,0,0,0,0,1,1,2,0,0,0,1,0,0,0,0,0,0,1,0,0
Shots made,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Shots missed,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
